Task ID	Date	Task Summary	Client	Module	Issue Type	Team Member (Submitting)	Assigned Member	Total Time Spent (Hrs)	Deadline Date	Deadline Time	Completed Date	Completed Time	Status	Planned/Unplanned	Priority Status	Remarks	Developer Remarks	Start Time	Reporting Client Name	Attachments	SVN Committed	Session Start
[AUTO]	2026-09-09 16:24	Review and fix the tracker Apps Script code	Task Management Application	General	Rework	office.venulm@gmail.com	Venul				2026-09-09	16:24	Done	Unplanned	Critical	Reviewed the Gemini-built Code.gs, form and sidebar. Task numbers now always take the highest id + 1, so one bad row can no longer block every new submission.	Commits: 676686f		OneSapro internal		No	
[AUTO]	2026-09-09 16:24	Update team list for staff changes	Task Management Application	General	Admin-Data	office.venulm@gmail.com	Venul				2026-09-09	16:24	Done	Unplanned	High	Removed Lahiru, Aditha, Udara and JanithP from assignment (their tabs kept for history). Added Eshara and Senura.	Commits: 676686f		OneSapro internal		No	
[AUTO]	2026-09-09 16:24	Bulk Add tasks with check before import	Task Management Application	General	Change-Feature	office.venulm@gmail.com	Venul				2026-09-09	16:24	Done	Planned	High	Paste many tasks at once. Every row is checked first and nothing is written until all rows pass.	Commits: 676686f		OneSapro internal		No	
[AUTO]	2026-09-09 16:24	Protect sheets while keeping Status editable	Task Management Application	General	Change-Feature	office.venulm@gmail.com	Venul				2026-09-09	16:24	Done	Planned	High	Lock Sheets protects automated columns. Status, Developer Remark and SVN Committed stay editable on team tabs.	Commits: 676686f		OneSapro internal		No	
[AUTO]	2026-09-09 16:24	Write user guide, admin guide and handbook	Task Management Application	General	QA-Docs	office.venulm@gmail.com	Venul				2026-09-09	16:24	Done	Planned	Medium	User guide, adding people, test plan, first run guide and the Master Log Handbook page.	Commits: 676686f		OneSapro internal		No	
[AUTO]	2026-09-09 16:24	Put tracker code under version control	Task Management Application	General	Infra-Admin	office.venulm@gmail.com	Venul				2026-09-09	16:31	Done	Planned	Medium	Code now lives in a git repository with history, plus a build step that turns the design system into a file Apps Script can use.	Commits: 676686f dc9a624 a18490e		OneSapro internal		No	
[AUTO]	2026-09-09 21:18	Redesign the task dashboard	Task Management Application	General	Change-Modification	office.venulm@gmail.com	Venul				2026-09-09	21:18	Done	Planned	High	New OneSapro design for My Tasks and the sidebar: stats, filters, running task, bulk actions, comments and follow-up nudge.	Commits: f38aa6d		OneSapro internal		No	
[AUTO]	2026-09-09 21:21	Restyle task form and Bulk Add to match	Task Management Application	General	Change-Modification	office.venulm@gmail.com	Venul				2026-09-09	21:21	Done	Planned	Medium	Form and Bulk Add dialog moved onto the same design system as the dashboard.	Commits: a4c1fb6		OneSapro internal		No	
[AUTO]	2026-09-10 10:47	Save tasks even when Drive is unreachable	Task Management Application	General	Bug-Core	office.venulm@gmail.com	Venul				2026-09-10	10:47	Done	Unplanned	Critical	A task with no attachments was failing because the Drive folder could not be opened. Tasks now always save; an upload problem shows as a warning.	Commits: 0a1de35		OneSapro internal		No	
[AUTO]	2026-09-10 11:54	Fix dropdowns rejecting tasks for new staff	Task Management Application	General	Bug-Core	office.venulm@gmail.com	Venul				2026-09-10	11:54	Done	Unplanned	Critical	Old dropdown rules did not list the new team members, so every task assigned to them was refused. Dropdowns are rebuilt from the team list.	Commits: 50ef588		OneSapro internal		No	
